The use of this data is subject to the terms and conditions of agreement with the HRI and cannot be shared with non-HRI customers without prior written permission.
HT_Vibration_Daily (2000/01/01 12:00:00 AM UTC+0000 - 2023/07/29 11:59:59 PM UTC+0000)
Request No.,1402
Shijia Zhao,Department of Energy
Requested:,2023/07/29 08:22:07 PM UTC+0000
Columns:,6,Averaging Period:,1 Day(s),Interpolation:,None,Out of Range Data Excluded:,False

Unit:,Mils,Mils,Mils,Mils,Mils,Mils
Site:,90716,90716,95152,95152,90716,90716
Powerhouse/Unit:,KI-45,KI-99,PW-68,PW-68,KI-99,KI-45
Generator Profiles:,,,,,,
Governor Profiles:,,,,,,
Hydraulic Turbine Profiles:,HT6617,HT5705,HT9409 (1997/01/01:2015/02/10) HT2532 (2020/01/23:present),HT9409 (1997/01/01:2015/02/10) HT2532 (2020/01/23:present),HT5705,HT6617
Tag Name:,,,,,,
Field Name:,HT_NA_NA_NA_NA_NA_DNA_VM_HO-185Vh,HT_NA_NA_NA_NA_NA_DNA_VM_HO-4o9bX,HT_NA_NA_NA_NA_NA_DNA_VM_HO-AotMh,HT_NA_NA_NA_NA_NA_DNA_VM_HO-BjARE,HT_NA_NA_NA_NA_NA_DNA_VM_HO-c2rB2,HT_NA_NA_NA_NA_NA_DNA_VM_HO-IAZ32
2007-04-20 00:00:00+00:00,NA,NA,5.445939387215508,3.4248723065689166,NA,NA
2007-04-21 00:00:00+00:00,NA,NA,3.348277017071439,2.8125852494259447,NA,NA
2007-04-22 00:00:00+00:00,NA,NA,4.90105262623403,3.093823340722055,NA,NA
2007-04-23 00:00:00+00:00,NA,NA,5.2117536701930485,3.290287290333623,NA,NA
2007-04-24 00:00:00+00:00,NA,NA,4.9414091628915155,3.1271501957778844,NA,NA
2007-04-25 00:00:00+00:00,16.884582720517773,9.733252437369337,5.242801078188962,3.2400722904523,11.947499911785133,16.14603822869681
2007-04-26 00:00:00+00:00,8.115116333937381,9.733485979561678,5.197135369900266,3.125003110527326,11.77507081090335,8.543187922913372
2007-04-27 00:00:00+00:00,9.407449029780077,9.951925204267319,5.6187527922593485,3.6844034011638938,11.824916883164471,9.402835852101681
2007-04-28 00:00:00+00:00,10.748892055353284,10.571919043299177,5.432925671410503,3.446182888724925,11.979977603460053,10.688758825017059
2007-04-29 00:00:00+00:00,18.435281081312507,10.557324316689465,5.696671743650694,4.045361637192821,11.988189607653128,17.906620487054557
2007-04-30 00:00:00+00:00,22.498826025469327,9.308842372987904,5.711700295036396,3.4047771408727976,11.826040307597777,18.929006683405415
2007-05-01 00:00:00+00:00,27.75049551438293,9.709951270016514,0.15875000382463098,0.012083333063249728,11.884230374164241,23.203835486234436
2007-05-02 00:00:00+00:00,26.277912296638355,9.618792366408597,0.18037037220266094,9.241142700346424,11.804514168416075,22.02394736942492
2007-05-03 00:00:00+00:00,6.849706742770511,9.55504194857264,0.1616666695723927,7.682499868994823,11.837822892129202,8.59913608554115
2007-05-04 00:00:00+00:00,5.516987444036426,9.365114042216398,7.546551601126255,0.01416666635001696,11.551018971585925,6.691031713694314
2007-05-05 00:00:00+00:00,25.093592944157184,9.271225790208385,0.15916667071481505,0.012499999720603184,11.481249924216955,18.086282000907925
2007-05-06 00:00:00+00:00,7.245356165900544,9.630624393666928,0.16166667019327444,0.011666666405896283,11.470736404722055,9.44184747323369
2007-05-07 00:00:00+00:00,17.07715919707771,10.01211922707993,0.16333333651224732,0.013333333035310075,11.501881413107839,17.902273587902283
2007-05-08 00:00:00+00:00,18.275691846634974,10.485570876481692,0.1641666702926155,7.171999877691248,11.598982979887628,20.698450549235172
2007-05-09 00:00:00+00:00,15.634589975486287,10.440392395697504,0.16541666910052263,0.01416666635001696,11.598175957479192,16.587570381247154
2007-05-10 00:00:00+00:00,20.428858304376583,10.442970202162144,0.16166667019327444,0.012083333063249728,11.755760441910464,20.500818455786582
2007-05-11 00:00:00+00:00,18.006657511057227,9.98802971538558,0.15750000439584214,0.013333333035310068,11.506380215287209,18.9208771206302
2007-05-12 00:00:00+00:00,8.836449174583834,10.594233553252952,0.1562500043461716,0.012499999720603174,11.83283126354218,12.344044807717665
2007-05-13 00:00:00+00:00,8.55227603716297,10.731736089123622,0.16166667019327444,0.012499999720603174,11.92864258132296,12.013522956661596
2007-05-14 00:00:00+00:00,22.635637765271913,10.714204865532954,0.15730769703021374,0.011999999731779048,11.957024756213524,23.14980740969539
2007-05-15 00:00:00+00:00,22.417412931192747,10.832999183843024,0.15666667123635566,0.011666666405896283,11.967570706115144,23.02461745491445
2007-05-16 00:00:00+00:00,22.51690705180048,11.089152195804427,0.15958333698411742,3.9933332651853446,11.931702068004206,22.826191187671526
2007-05-17 00:00:00+00:00,24.1944964913252,11.179123144806802,5.787207216024399,4.093509397327357,11.748909308633904,23.602245993326527
2007-05-18 00:00:00+00:00,24.111131781918367,11.176058872848149,5.82234988760388,3.6674704202533466,11.662511633593834,23.805821982982057
2007-05-19 00:00:00+00:00,22.86952941407495,11.270716878072895,3.146250021457674,2.8941250133514393,11.623795309698716,22.698826595148617
2007-05-20 00:00:00+00:00,19.877532263016068,11.050497416238697,5.965687044704234,3.534086808589224,11.603401001904006,21.550655915471296
2007-05-21 00:00:00+00:00,24.657473533842882,10.95870408744369,5.746090459062698,3.2694665628254027,11.586344655822296,22.43709364597186
2007-05-22 00:00:00+00:00,22.870560363045744,10.842559065549075,5.666610760976805,3.1190611960402266,11.52522453775211,22.766491248184415
