GN_GB_ND_SH_DNA_VM_HO-1hbtR,GN_GB_ND_SH_DNA_VM_HO-34IaB,GN_GB_ND_SH_DNA_VM_HO-7IkeA,GN_GB_ND_SH_DNA_VM_HO-9W9pq,GN_GB_ND_SH_DNA_VM_HO-Cv7xc,GN_GB_ND_SH_DNA_VM_HO-Db5kr,GN_GB_ND_SH_DNA_VM_HO-eAB8c,GN_GB_ND_SH_DNA_VM_HO-EAskK,GN_GB_ND_SH_DNA_VM_HO-eY9y0,GN_GB_ND_SH_DNA_VM_HO-fl8X9,GN_GB_ND_SH_DNA_VM_HO-idzZd,GN_GB_ND_SH_DNA_VM_HO-ieC5u,GN_GB_ND_SH_DNA_VM_HO-IMqGo,GN_GB_ND_SH_DNA_VM_HO-j6Sse,GN_GB_ND_SH_DNA_VM_HO-LOXXL,GN_GB_ND_SH_DNA_VM_HO-OnqTn,GN_GB_ND_SH_DNA_VM_HO-qRVHP,GN_GB_ND_SH_DNA_VM_HO-RMRJ9,GN_GB_ND_SH_DNA_VM_HO-xAeWp,GN_GB_ND_SH_DNA_VM_HO-XnieG,GN_GB_ND_SH_DNA_VM_HO-ybTm8,GN_GB_ND_SH_DNA_VM_VE-2VJKp,GN_GB_ND_SH_DNA_VM_VE-32QOv,GN_GB_ND_SH_DNA_VM_VE-76HfD,GN_GB_ND_SH_DNA_VM_VE-DI4Wa,GN_GB_ND_SH_DNA_VM_VE-fn2xX,GN_GB_ND_SH_DNA_VM_VE-htsBX,GN_GB_ND_SH_DNA_VM_VE-kxcsh,GN_GB_ND_SH_DNA_VM_VE-lHB6Q,GN_GB_ND_SH_DNA_VM_VE-LrC1E,GN_GB_ND_SH_DNA_VM_VE-SrDKP,GN_GB_ND_SH_DNA_VM_VE-tVcYY,GN_GB_ND_SH_DNA_VM_VE-u5yO7,GN_GB_ND_SH_DNA_VM_VE-U7ecJ
1.684748942,1.747469014,6.810214701,,4.721004566,7.61790393,2.155561157,3.819201067,7.191007833,2.424186749,,4.866056976,4.844689249,2.5,4.606824001,6.548437966,2.045938038,6.35183905,2.120000615,,2.491402717,3.838907512,2.983977441,3.756700305,4.318136164,,4.463151883,2.200788033,2.092693152,,4.961305244,4.029889916,1.883,1.338379486
2.603370481,2.1974923,1.602401681,,4.549803922,8.519140625,3.954853322,3.724449574,5.8471633,2.25945924,,8.5720445,4.457391667,2.5,4.183916237,6.221475793,1.7971141,6.06652378,1.826527324,,4.021459877,1.678706573,2.706418527,2.73716526,3.920181237,,3.187480056,2.6884588,3.72287355,,8.253038583,1.448266107,1.445,2.361265957
4.7302102,1.670851939,1.932423172,,7.088421053,9.679359431,1.099030497,5.017035333,3.961052407,2.296330249,,2.520364467,3.9970175,2.5,3.673118319,6.739510441,1.438271999,9.4685274,1.930751428,,1.519798091,1.824514019,4.049639033,4.22419395,6.53050361,,2.021128,3.851702233,1.091834491,,2.363617133,4.371834463,1.846666667,5.694832259
1.800511819,1.600952085,3.734680583,,5.341984733,8.674144487,1.56819745,3.947906046,4.34008335,2.278258996,,2.607989525,4.72836225,2.5,3.351942627,6.455499942,1.502932549,8.316587383,1.744311274,,4.320814917,2.786214381,3.036712025,3.413739651,5.673696933,,2.133991982,3.017641517,1.563722528,,2.545287407,1.930133254,1.880666667,1.546833224
2.110482396,1.6784236,1.448204898,,5.18875,7.141908714,2.037364404,4.81572535,5.300348983,2.446390293,,2.09021225,6.70291075,2.5,3.825591034,6.474945927,1.549804211,7.720248533,1.880666244,,2.278772569,1.629799741,4.001981467,2.348640508,6.186748767,,3.421009932,4.547311867,2.035610564,,1.891830667,1.817529417,1.886428571,2.685364765
7.377555847,1.167631045,1.839508661,,5.062780269,7.008677686,2.506531357,5.568729593,6.714215367,2.45630455,,5.203870733,2.350137355,2.5,3.498409816,6.866394175,1.519755681,3.88994266,1.877598556,,2.09797907,1.848545822,5.176788305,2.520967067,3.513876125,,3.506972271,3.45810565,2.5074986,,5.213406717,1.515298531,1.6,7.407084606
2.128314321,1.991543617,1.44003222,,5.330373832,7.717391304,2.975698311,5.553134254,4.925200333,2.319728867,,4.4447739,5.149161733,2.5,3.883570249,7.385464893,1.534832001,2.904415676,1.747166072,,1.5952485,1.535962813,5.160757233,3.220228379,2.245456758,,2.069072966,2.446118683,2.979386637,,4.384175967,1.444015786,1.8375,1.821212862
6.8024351,1.238307268,9.043201617,,8.681012658,8.985285285,3.444865264,5.63646245,4.67631025,2.624534607,,3.657345233,7.646392717,2.5,3.634117214,8.059694333,1.515173912,6.022750167,1.781322479,,1.755061375,5.65167315,6.2404196,2.836092817,4.163124267,,1.950067483,3.4687915,3.451274673,,3.367992067,1.64227782,1.7,7.100835083
3.823128058,1.949885917,4.953476084,,5.065437788,6.559821429,3.914032218,6.794305967,3.9150224,2.086138432,,4.136789133,5.879862117,2.5,4.100401537,7.788524673,1.599168777,8.266952508,1.559690724,,1.685763237,1.669083403,9.56607755,2.221612715,6.602215932,,1.770158707,6.855557233,3.923162709,,3.701396983,10.45911413,1.525652174,3.673448386
2.021994641,1.847056441,1.981853837,,8.134954407,6.908083832,4.383199171,7.4283653,4.918613617,2.202721976,,2.106781051,4.525872117,2.5,3.898978633,6.524622965,1.551448822,5.495979531,1.626704683,,8.88397505,3.793873317,9.975463167,3.32489235,3.490572393,,1.85356561,3.925586966,4.395050746,,2.248777291,8.226035069,1.60625,2.510269639
