GN_GB_ND_SH_DNA_VM_HO-1hbtR,GN_GB_ND_SH_DNA_VM_HO-34IaB,GN_GB_ND_SH_DNA_VM_HO-7IkeA,GN_GB_ND_SH_DNA_VM_HO-9W9pq,GN_GB_ND_SH_DNA_VM_HO-Cv7xc,GN_GB_ND_SH_DNA_VM_HO-Db5kr,GN_GB_ND_SH_DNA_VM_HO-eAB8c,GN_GB_ND_SH_DNA_VM_HO-EAskK,GN_GB_ND_SH_DNA_VM_HO-eY9y0,GN_GB_ND_SH_DNA_VM_HO-fl8X9,GN_GB_ND_SH_DNA_VM_HO-idzZd,GN_GB_ND_SH_DNA_VM_HO-ieC5u,GN_GB_ND_SH_DNA_VM_HO-IMqGo,GN_GB_ND_SH_DNA_VM_HO-j6Sse,GN_GB_ND_SH_DNA_VM_HO-LOXXL,GN_GB_ND_SH_DNA_VM_HO-OnqTn,GN_GB_ND_SH_DNA_VM_HO-qRVHP,GN_GB_ND_SH_DNA_VM_HO-RMRJ9,GN_GB_ND_SH_DNA_VM_HO-xAeWp,GN_GB_ND_SH_DNA_VM_HO-XnieG,GN_GB_ND_SH_DNA_VM_HO-ybTm8,GN_GB_ND_SH_DNA_VM_VE-2VJKp,GN_GB_ND_SH_DNA_VM_VE-32QOv,GN_GB_ND_SH_DNA_VM_VE-76HfD,GN_GB_ND_SH_DNA_VM_VE-DI4Wa,GN_GB_ND_SH_DNA_VM_VE-fn2xX,GN_GB_ND_SH_DNA_VM_VE-htsBX,GN_GB_ND_SH_DNA_VM_VE-kxcsh,GN_GB_ND_SH_DNA_VM_VE-lHB6Q,GN_GB_ND_SH_DNA_VM_VE-LrC1E,GN_GB_ND_SH_DNA_VM_VE-SrDKP,GN_GB_ND_SH_DNA_VM_VE-tVcYY,GN_GB_ND_SH_DNA_VM_VE-u5yO7,GN_GB_ND_SH_DNA_VM_VE-U7ecJ
2.259061128,1.769745733,1.942929674,,5.361507937,5.914173228,8.862411467,5.8463589,4.356330389,2.399515801,,2.796095229,8.886731233,2.5,4.798862566,6.764826267,2.192501526,5.107489013,2.217209186,,4.8501356,2.070085023,8.431064983,2.77493065,3.336423605,,2.453838209,2.417133833,6.966926617,,2.545966375,1.941188607,20.0,1.955458489
1.703798678,1.046569492,1.872073083,,5.308298755,5.822222222,9.6933244,4.195436383,6.391629559,2.394812087,,2.55088975,1.261036486,1.25,4.228393109,4.759297491,1.690384245,6.496109883,2.203162318,,1.940261763,1.748922096,3.651704517,1.806830731,5.677090317,,2.986655567,4.601062783,7.732209417,,2.305362833,4.461292025,20.0,2.532510399
2.164646878,1.562570717,2.493156622,,5.121875,5.64270073,8.061469483,4.31459831,1.639431644,2.391017616,,2.504754983,3.02886085,2.5,4.42544506,4.728583868,1.722688587,6.272972517,2.199245171,,4.788282855,2.01798594,3.62371005,2.5845621,4.14082465,,2.703342655,5.27736225,6.609025075,,2.318319633,7.767897033,20.0,2.040067205
1.171142763,1.80047135,2.331926083,,5.137751004,5.636964981,4.497090593,4.308524034,4.749118086,2.453936206,,3.362759431,7.55245925,2.5,4.510668976,5.089559208,1.842441548,6.67753675,2.251387356,,8.002601733,2.027810963,4.133789033,1.499265557,4.55662039,,2.373308518,7.988368183,3.185604519,,2.922974707,9.495908483,20.0,1.365294229
2.564696564,1.864491433,4.5619631,,5.401449275,6.023507463,4.74224415,6.214431328,1.090085262,2.359856982,,1.228578261,8.660702367,2.5,4.524565333,10.3213205,1.851917358,8.663424617,2.172966059,,9.955282667,3.28947925,6.3747011,1.830530299,5.284158983,,1.02810455,4.475577867,3.164822821,,1.125987236,7.592934875,20.0,4.22184467
2.218841429,1.647760683,2.658415017,,5.446613546,6.142307692,8.243719413,5.188700086,1.215675257,2.333763707,,1.493032099,11.5209494,2.5,4.371332949,10.33300528,1.810509957,6.383514042,2.192829276,,8.045743086,2.329682466,5.261702567,3.046081767,3.552159511,,1.315624559,2.340141683,6.531459068,,1.561834268,3.582627433,20.0,3.322145397
6.062292417,1.84133515,5.882473248,,5.267871486,5.927091633,4.719525483,4.395772233,1.341265251,2.289021109,,1.757485937,7.089000267,2.5,4.245924035,3.007825148,1.805449573,7.75791545,2.147859318,,3.626767254,3.729977865,3.847788367,1.328896177,4.4837845,,1.603144568,4.322110033,3.29233122,,1.9976813,3.067722845,20.0,4.53477435
2.15991335,2.100666717,3.199432896,,5.1734375,5.763485477,13.10160998,3.552780333,2.068277763,2.304032174,,2.021939775,2.9473382,2.5,4.443308428,5.315396963,1.856090205,8.429571283,2.17269423,,3.15435531,2.332434497,9.1436187,2.962594583,5.2005111,,1.890664577,3.2378734,11.01695976,,2.433528332,1.554007585,20.0,2.951552034
1.190208386,1.7048052,1.782317833,,5.262139918,6.02406015,4.933663568,2.674093677,12.77371975,2.328190139,,2.286393613,7.031149617,2.5,4.351447835,4.997503638,1.825060578,8.633384441,2.211048555,,1.571467367,1.869171518,4.583417491,3.16819485,5.032205136,,2.178184586,4.645127033,3.293931407,,2.869375364,2.210562886,20.0,1.116386925
2.779841983,1.9997632,7.211792563,,5.592,6.360363636,4.732832695,5.200020654,4.908144153,2.301377642,,2.550847451,5.4632262,2.5,4.843677425,3.557085705,1.877588398,1.108467589,2.1715793,,2.389774344,4.55085255,5.161219439,1.445369079,1.167804709,,2.465704595,3.923740183,3.128727259,,3.305222396,4.62052775,20.0,2.652075845
2.474594494,1.826712177,1.724323127,,5.161133603,5.828,8.810183767,5.607672939,5.989165783,2.325232484,,2.815301289,1.090968776,2.5,4.563545073,3.95393125,1.879631317,1.411238479,2.199265328,,5.342647317,1.820004481,6.95991505,3.1033412,1.343105607,,2.753224604,3.636977317,5.7303465,,3.741069427,6.118562783,20.0,4.318986522
2.46211822,1.665624182,6.31045035,,5.189140271,6.022529644,3.310479649,1.454397756,5.77131545,2.359354256,,6.979101433,7.231982867,2.5,4.523558083,6.629547,1.886286259,1.714009369,2.21750493,,5.442960633,4.22693815,1.474301664,3.261853883,1.518406504,,3.040744612,3.627160404,2.296591997,,4.176916459,8.6373474,20.0,4.502914356
3.214632845,2.038956274,1.711057175,,5.322727273,6.165758755,4.262488647,1.259567555,9.658479084,2.346952998,,2.631486966,6.215362481,2.5,4.39080131,4.650962797,1.874054884,2.016780259,2.203593561,,7.526001767,1.798138283,1.377598083,2.8623524,1.693707402,,7.200646217,3.574722952,1.083150489,,4.612763491,4.076523153,20.0,3.231731183
1.119331407,2.4884492,2.652299944,,5.318128655,6.113004484,4.95713655,2.073511218,4.606371175,2.392136204,,2.217459869,5.897717117,2.5,4.369855731,3.739603575,1.847818198,2.319551149,2.244091829,,3.39301059,2.102233556,2.273408468,2.071092709,1.8690083,,2.015884132,1.029698105,2.753375465,,6.108727217,8.415577136,20.0,1.012170597
3.903837678,1.936768483,6.070781333,,5.311881188,6.056538462,6.753347917,2.887454881,4.587151245,2.338822461,,8.262180117,5.850682975,2.5,4.393749312,6.021167268,1.878927055,2.62232204,2.179116167,,7.549272,3.929117083,3.169218853,3.477322417,5.248003095,,3.825346963,4.875836617,3.674420345,,2.451411797,6.860129167,20.0,6.397948317
2.7304579,2.503811586,3.861364833,,5.745652174,6.325,4.338086606,3.701398544,7.644546704,2.410074441,,3.19413258,6.061873939,2.5,4.60837482,5.147072537,1.900484313,2.92509293,2.238463839,,6.706098683,2.784346233,4.065029237,3.088906181,3.785554873,,2.800414455,3.778674467,5.145288183,,1.862386288,3.469779277,20.0,4.2215551
1.640480186,1.138948975,4.153907133,,5.930107527,6.79137931,6.61054436,4.515342207,5.11538611,2.459261883,,2.628082267,3.250863808,2.5,4.804609755,7.225344,2.063747747,3.22786382,2.256720282,,3.981781155,4.6909341,4.960839622,2.833226158,6.843531511,,4.609664709,1.131062854,2.90905291,,7.271491633,4.764812178,20.0,1.382728661
3.715971933,1.338653208,1.294868306,,5.941176471,6.802912621,8.939295083,5.32928587,5.467703917,2.4089255,,2.9064551,7.977335033,2.5,4.32260103,8.111235189,1.905571479,5.544404594,2.165687752,,5.255041056,1.525267874,5.856650007,4.91994459,5.570245383,,2.310563365,1.301491003,4.826756257,,2.887855447,7.43185275,20.0,6.233978533
2.45703164,1.538357442,6.078542936,,5.78452381,6.695061728,8.827070217,6.143229533,5.4301931,2.378853864,,6.183338932,6.171949783,2.5,4.374939406,4.782576944,1.92077563,3.836609979,2.198323804,,6.986067633,3.816145961,6.752460392,1.432390034,6.1043947,,2.248395182,1.471919151,6.721057283,,2.6159936,3.081083903,20.0,4.036590745
1.562318068,1.738061675,3.349716616,,5.940659341,6.827927928,4.517155367,6.957173195,4.513254321,2.342976818,,2.137594473,1.204888749,2.5,4.918501384,6.63432039,2.036837339,7.415769876,2.1784868,,4.007878892,2.544591452,7.648270776,3.979389483,4.8164057,,3.139720427,1.642347299,6.940253317,,2.399237283,4.765861414,20.0,1.530706226
