HT_GB_SH_NA_DNA_VM_HO-7nvE0,HT_NA_NA_NA_DNA_VM_HO-AotMh,HT_NA_NA_NA_DNA_VM_HO-BjARE,HT_GB_SH_NA_DNA_VM_HO-uL9YZ,HT_GB_SH_NA_DNA_VM_HO-zbqiU,GN_GB_ND_SH_DNA_VM_HO-Cv7xc,GN_GB_ND_SH_DNA_VM_HO-Db5kr,HT_GB_SH_NA_DNA_VM_HO-93Oix
11.33333333,3.034999967,2.319999933,14.1,5.900000095,5.062780269,7.008677686,2.226704542
11,3.140000105,2.314999938,14.1,5.16176466,5.38071066,7.541176471,2.251643191
10.6,3.039999962,2.274999976,14.4,5.261135405,5.347580645,7.671314741,2.138636324
10.7,3.140000105,2.299999952,14.1,4.718534494,5.371314741,7.685123967,2.138461498
11.3,3.089999914,2.289999962,14.1,4.639999933,7.412323944,8.532986111,2.133333286
10.8,3.130000114,2.25999999,14.2,4.791666744,5.246280992,7.677272727,2.133333286
11,3,2.25,14.3,4.715573764,5.460180995,7.769565217,2.172185423
10.8,3.160000086,2.319999933,14.4,4.533050818,5.330373832,7.717391304,2.155999975
10.8,6.098498041,4.391230158,14.2,4.50443548,5.501932367,7.810984848,2.133333286
11.1,6.217539282,4.763917526,14.3,4.528294547,5.170852018,7.3708,2.048101219
10.7,3.00999999,2.345000029,14.3,4.398706954,5.434703196,7.758490566,2.060526258
10.8,3.019999981,2.274999976,14.2,4.45185189,8.875483871,8.442857143,2.140540503
10.5,3.059999943,2.299000001,14.29741935,4.436000038,10.49542683,10.72447761,2.165853643
10.5,3.130000114,2.340000033,14.3,4.230364332,10.7878882,12.19941349,2.253110045
10.5,3.00999999,2.314000034,14.2,4.296862761,8.681012658,8.985285285,2.2574074
10.2,3.13500011,2.390000105,14.4,4.386008288,8.265359477,7.693146417,2.358333369
10.4,3.059999943,2.319999933,14.5,4.24291841,5.347933884,7.276422764,2.334939761
13.766,3.160000086,2.274999976,14.5,4.33450985,5.373306773,7.137349398,2.340983618
13.68780488,3.160000086,2.203333378,14.3,4.48346775,5.505217391,7.158035714,2.4895105
13.55714286,3,2.210000038,14.5,4.458847772,5.034801762,6.42780083,2.3
12,3.059999943,2.212500036,14.3,4.362204762,5.356345178,6.983105023,2.148275833
11.3,3.140000105,2.130000114,14.4,5.05227274,5.065437788,6.559821429,2.596111079
10.7,3.089999914,2.180000067,14.7,4.912605103,5.1,6.6,2.45466106
10.5,3.099999905,2.109999895,14.5,4.548430464,5.1,6.6,2.799999952
10.7,3.099999905,2.226666689,14.5,5.022672074,5.1,6.6,2.055244704
10.6,3.099999905,2.246153831,14.4,4.457518832,5.1,6.6,3.895340507
12.4,3.079999924,2.289999962,14.5,5.5,5.1,6.6,3.635869576
10.6,3.170000076,2.354999959,12.3,4.324354283,4.775,6.119753086,3.480215828
13.14,3.170000076,2.262499988,12.6,5.620279732,8.134954407,6.908083832,3.450915758
12,3.170000076,2.413157915,12.6,5.604912293,8.040625,6.822424242,3.51423488
10.8,3.130000114,2.476923081,12.4,5.435986176,5.084716157,6.320152091,3.525270765
11.3,3.099999905,2.401428631,12.3,5.585365854,5.248962656,6.477692308,3.493243246
11.3,3.130000114,2.495510201,12.5,5.247902123,5.133333333,6.225296443,3.66903916
11.2,3.039999962,2.442405061,12.5,5.298263897,5.008745247,6.004150943,3.508118088
11,3.059999943,2.458387086,12.7,5.595505634,5.026938776,6.160833333,3.743840582
11.2,3.059999943,2.438190474,12.4,5.328719726,4.865178571,6.038339921,3.626978424
11.8,3.00999999,2.342444462,12.7,5.491349494,5.028294574,6.297233202,3.541843976
11.5,3.059999943,2.327903225,12.6,5.678798598,4.940909091,6.125547445,3.394425089
11.1,2.925000072,2.332164954,12.6,5.647602748,7.717915309,7.266768293,3.425925931
11.2,2.950000048,2.383207544,12.4,5.6170139,4.971966527,5.48553719,3.502473503
11.1,2.894444466,2.417731963,12.6,5.45397925,4.703773585,5.731496063,2.440686283
10.6,2.840461544,2.44051021,12.6,5.730136991,7.369354839,6.886018237,3.593478269
