GN_GB_ND_SH_DNA_VM_HO-1hbtR,GN_GB_ND_SH_DNA_VM_HO-34IaB,GN_GB_ND_SH_DNA_VM_HO-7IkeA,GN_GB_ND_SH_DNA_VM_HO-9W9pq,GN_GB_ND_SH_DNA_VM_HO-Cv7xc,GN_GB_ND_SH_DNA_VM_HO-Db5kr,GN_GB_ND_SH_DNA_VM_HO-eAB8c,GN_GB_ND_SH_DNA_VM_HO-EAskK,GN_GB_ND_SH_DNA_VM_HO-eY9y0,GN_GB_ND_SH_DNA_VM_HO-fl8X9,GN_GB_ND_SH_DNA_VM_HO-idzZd,GN_GB_ND_SH_DNA_VM_HO-ieC5u,GN_GB_ND_SH_DNA_VM_HO-IMqGo,GN_GB_ND_SH_DNA_VM_HO-j6Sse,GN_GB_ND_SH_DNA_VM_HO-LOXXL,GN_GB_ND_SH_DNA_VM_HO-OnqTn,GN_GB_ND_SH_DNA_VM_HO-qRVHP,GN_GB_ND_SH_DNA_VM_HO-RMRJ9,GN_GB_ND_SH_DNA_VM_HO-xAeWp,GN_GB_ND_SH_DNA_VM_HO-XnieG,GN_GB_ND_SH_DNA_VM_HO-ybTm8,GN_GB_ND_SH_DNA_VM_VE-2VJKp,GN_GB_ND_SH_DNA_VM_VE-32QOv,GN_GB_ND_SH_DNA_VM_VE-76HfD,GN_GB_ND_SH_DNA_VM_VE-DI4Wa,GN_GB_ND_SH_DNA_VM_VE-fn2xX,GN_GB_ND_SH_DNA_VM_VE-htsBX,GN_GB_ND_SH_DNA_VM_VE-kxcsh,GN_GB_ND_SH_DNA_VM_VE-lHB6Q,GN_GB_ND_SH_DNA_VM_VE-LrC1E,GN_GB_ND_SH_DNA_VM_VE-SrDKP,GN_GB_ND_SH_DNA_VM_VE-tVcYY,GN_GB_ND_SH_DNA_VM_VE-u5yO7,GN_GB_ND_SH_DNA_VM_VE-U7ecJ
2.088042897,2.030386221,3.303797663,,5.576444444,6.181060606,3.412507475,4.092533119,4.256952833,2.462595564,,2.501269117,2.964916365,2.5,4.270962284,6.55133925,2.02281976,5.93954945,2.295045193,2.463571429,3.857424782,2.410984244,3.425592746,3.286608093,4.311578729,,2.296645379,2.36449705,2.397628891,,2.23165255,3.203926707,2.015,2.038270583
4.26006675,2.187536963,3.346123703,,5.599583333,6.194160584,3.649216228,5.273671186,3.962180883,2.46654798,,2.089559583,3.775490033,2.5,4.291725785,7.084730847,2.136440055,2.373144461,2.299634143,2.847333333,6.368432033,2.484229791,5.8499749,3.087020655,3.948429817,,2.066446169,2.703099783,2.474040828,,14.11798983,6.17720825,2.109,2.25997073
2.641744267,2.141109717,2.752629115,,5.252631579,5.8812749,5.257794492,4.2612238,2.371786525,2.432310887,,13.55147767,3.365694433,2.5,4.434014284,4.749555175,2.130551785,6.372742383,2.25181632,,5.243423828,3.224229328,3.115145983,3.214800117,2.321556167,,3.0896234,2.306706017,4.111861273,,4.26114228,5.276841225,2.276818182,2.241988893
2.288342593,2.100666717,2.205587865,,5.201793722,5.82745098,7.18385893,3.803691633,6.407392762,2.409743547,,4.563676926,3.971832847,2.5,4.576241355,6.86526591,2.116760625,3.194257277,2.234859467,,10.45299219,2.018954602,3.074717864,2.873494133,4.561048017,,3.161189482,2.593031972,5.504833371,,2.23825495,10.51124391,4.71972973,2.821363567
6.499512633,2.038956274,3.365341055,,5.0764,5.658139535,9.135782367,3.066560617,4.004564691,2.384566333,,2.398711233,4.111167571,2.5,4.308494684,8.63268931,2.061385155,4.918079757,2.212058247,,2.106762067,2.660448556,9.649118233,2.798581906,2.954398622,,3.479016684,2.879695767,8.040365545,,3.245160967,2.0263742,4.597945205,2.186521138
3.052942607,2.4884492,4.802463417,,5.2985,5.963424125,7.459445167,3.862824695,5.18560075,2.398759038,,2.02021945,4.963051133,2.5,4.658549684,6.504201477,2.162515157,6.52371995,2.234016733,,4.855665733,3.319686433,2.942440254,2.938532515,2.298955261,,2.09896088,3.989288533,6.174121655,,5.368415233,5.595181368,20.0,4.1730568
2.259061128,2.503811586,2.491437,,5.36846473,6.067611336,5.157088617,4.348679867,3.691710169,2.41513512,,3.56052855,6.41587385,2.5,4.411442774,4.848955404,2.192501526,4.553103829,2.229868039,,4.221452678,2.055842414,3.98981355,2.916852583,3.332233767,,2.975529322,2.426886483,3.694760772,,2.838123562,5.106788283,20.0,2.590533763
2.164646878,2.137470142,2.493156622,,5.456355932,6.117054264,6.525208714,2.512099823,6.556125133,2.471279407,,5.8480341,4.093609833,2.5,4.515293792,5.427264453,2.063747747,2.631173643,2.280114228,,5.400972033,2.070085023,2.027248691,3.500692196,4.084553433,,3.773475733,2.311327483,7.087479473,,2.545966375,7.645946,20.0,4.915913233
2.564696564,2.438895183,2.331926083,,5.097083333,5.70826087,7.368630983,5.428171916,4.557323733,2.479130376,,3.417744704,4.2501764,2.5,4.889287602,7.377303719,2.036837339,3.71341332,2.285796895,,4.8501356,2.01798594,5.222235144,2.931122417,4.134511567,,2.293470183,2.3298466,6.102086492,,2.305362833,4.771790617,20.0,3.846293118
2.218841429,2.042361483,4.5619631,,5.4644,6.06122449,13.84454285,4.272571198,7.5871383,2.46357074,,2.244960833,3.8784218,2.5,4.63667291,5.058862509,2.097090046,5.781769458,2.284275762,,4.788282855,2.027810963,5.563047136,2.811418475,3.336423605,,3.885082433,5.890535167,12.02492053,,2.318319633,4.461292025,20.0,2.532510399
