HT5705_HT_NA_NA_NA_DNA_VM_HO-4o9bX,HT5705_HT_NA_NA_NA_DNA_VM_HO-c2rB2,HT6617_HT_NA_NA_NA_DNA_VM_HO-185Vh,HT6617_HT_NA_NA_NA_DNA_VM_HO-IAZ32,HT_NA_NA_NA_DNA_VM_HO-AotMh,HT_NA_NA_NA_DNA_VM_HO-BjARE
9.751239674,11.75769234,7.749122795,8.209722267,3.394117664,2.80516854
10.1766667,11.82307691,10.35656936,10.33916348,3.328888893,2.827767009
10.60714293,12.04827605,10.60349651,10.49080883,3.347894719,2.853461541
10.55420581,11.94333312,8.04660212,8.095652373,3.339999962,2.79355769
9.864583234,11.94285692,3.950000018,4.180952367,3.359090913,2.791093765
9.518181888,11.74799999,6.099999905,7.253409104,3.380000012,2.800204102
9.437254737,11.96999989,5.754761923,7.20909084,3.416666706,2.789056623
9.551136526,11.73999996,6.659999943,8.043396401,5.786755757,4.467649132
9.509090911,11.42916676,12.78876397,13.26260872,3.346666634,2.858163272
9.772413813,11.54375017,10.46944441,9.811199959,5.544861095,4.259305033
10.03440013,11.41100903,7.066666603,9.193478294,3.285000046,2.869999988
10.5228071,11.54456539,7.249999996,9.097561138,3.170000076,2.866666694
10.47636355,11.72800002,8.741935468,11.58620706,3.099999905,2.941000021
10.28157892,11.89999962,8.177551075,11.26862743,3.170000076,2.839999974
9.794520509,11.47551011,8.000000119,10.97241384,3.167500079,2.739333344
10.75,12.05052651,8.580769429,11.95169473,3.130000114,2.739777777
10.55402318,11.93999977,8.736111111,12.07115401,3.170000076,2.735312514
10.75512821,12.04285731,8.441790823,11.74864864,3.220000029,2.756153877
10.73023257,11.94999981,12.82647052,12.04277096,3.210000038,2.766571447
10.98333327,11.94647867,8.513636416,11.75044247,3.140000105,2.75035716
11.36744175,11.75882356,8.564706129,12.27816091,3.165000081,2.753600044
11.43392839,11.74936709,8.705737685,12.65666671,3.140000105,2.758545442
11.44795905,11.74736841,8.753333346,12.52364873,3.170000076,2.773235307
11.04951475,11.55301225,25.9026667,29.28174274,3.210000038,2.730000014
11.00114943,11.54500017,8.745121933,25.96506025,3.210000038,2.639523824
10.73846155,11.5427421,8.477443523,11.98657713,3.200000048,2.680416703
20.27371409,11.04729748,8.250602412,12.06750014,3.079999924,2.743478257
9.547457808,11.50800003,8.299999952,11.77027024,3.089999914,2.681428637
10.25052632,11.5516131,9.272093041,11.96211166,3.130000114,2.558333317
10.07272746,11.5250001,9.046511805,13.17804879,6.076756729,4.110555547
10.24416666,11.58214303,8.977692223,12.5485296,3.140000105,2.639473677
10.14693873,11.05263178,8.758208987,12.75465116,5.641904761,4.301137947
10.75555558,11.46666654,8.939130203,12.52919719,6.275714318,3.619565191
10.08135608,11.69999981,8.939999798,12.00939601,5.926470595,4.185652178
