Powerhouse/Unit:,LO-39,JC-99,LO-93,LO-64,QW-13,LO-71,LO-72,LO-28,LO-84,TT-63,TT-67,QW-54,LI-67,JC-52,QW-91,LO-44,HJ-80,QW-92,JC-43,QW-56,QW-15,QW-94,QW-82,LO-59,QW-97,ZR-71,LO-91,QW-05,LO-21,QW-10,QW-76,HJ-30
2008-07-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4183626,-0.420564272,0.0,6.339783848,0.0,0.0,0.0,0.90897545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92151.75912,0.0,0.0,0.0,0.0,0.0,-0.557006727
2008-07-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.54568074,-0.428656904,0.0,4.561234989,0.0,0.0,0.0,-1.315134623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78711.5915,0.0,0.0,0.0,0.0,0.0,5.593924385
2008-07-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2861963,-0.432049958,0.0,7.553496148,0.0,0.0,0.0,-1.305423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110766.4434,0.0,0.0,0.0,0.0,0.0,2.319441265
2008-07-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.83177732,-0.46000729,0.0,8.651514574,0.0,0.0,0.0,-1.325342869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120426.251,0.0,0.0,0.0,0.0,0.0,-0.907264774
2008-07-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5158317,0.0,0.0,0.0,-1.328010664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022611.261,0.0,0.0,0.0,0.0,0.0,-0.933210683
2008-07-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.511426456,0.0,0.0,0.0,-1.335068623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196066.842,0.0,0.0,0.0,0.0,0.0,-0.915332206
2008-07-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.44519003,-0.433644872,0.0,9.631062699,0.0,0.0,0.0,-1.310171218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165776.837,0.0,0.0,0.0,0.0,0.0,-0.932402665
2008-07-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.47303489,-0.448074412,0.0,7.736648315,0.0,0.0,0.0,-1.298293122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257063.599,0.0,0.0,0.0,0.0,0.0,-0.123441084
2008-07-16 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.50217436,-0.4312851,0.0,8.356963096,0.0,0.0,0.0,-1.022161556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946348.7262,0.0,0.0,0.0,0.0,0.0,-0.851678902
2008-07-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69362767,1.705289882,0.0,5.326190443,0.0,0.0,0.0,-1.304713987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1219558.615,0.0,0.0,0.0,0.0,0.0,0.228304226
2008-07-18 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.755619464,-0.457074983,0.0,9.149332423,0.0,0.0,0.0,-1.315024168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1104420.162,0.0,0.0,0.0,0.0,0.0,-0.900065527
2008-07-19 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.40388692,-0.439179322,0.0,-0.561925334,0.0,0.0,0.0,-1.311758935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954438.3211000001,0.0,0.0,0.0,0.0,0.0,0.365582907
2008-07-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.65641592,-0.465559445,0.0,-0.538470345,0.0,0.0,0.0,-1.324154769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073741.824,0.0,0.0,0.0,0.0,0.0,-0.885209151
2008-07-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.748883101,10.19487817,0.0,7.092447697,0.0,0.0,0.0,-1.32665157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649661.7287000001,0.0,0.0,0.0,0.0,0.0,-0.772483507
