HT_NA_NA_NA_DNA_VM_HO-AotMh,HT_NA_NA_NA_DNA_VM_HO-BjARE,HT_GB_SH_NA_DNA_VM_HO-zbqiU,HT_GB_SH_NA_DNA_VM_HO-93Oix,GN_GB_ND_SH_DNA_VM_HO-Cv7xc,GN_GB_ND_SH_DNA_VM_HO-Db5kr
8.928785021,17.88714829,5.292523364,5.110043668,8.899667619,19.45639264
8.971793837,19.22056608,5.691633466,5.676136364,7.616973333,14.08445556
17.85146517,11.16405941,5.48816568,5.75480226,12.97269157,13.21337284
18.79090897,8.203203108,5.920116618,6.506267806,14.09326619,19.63025103
11.83022221,1.933750004,6.316763006,7.574277457,15.60477692,19.56686477
8.80201254,2.983695652,6.208823529,6.881586402,11.85599249,12.14246548
6.280000114,5.462499991,6.22300885,5.476203966,16.82921171,13.11757006
6.58978723,6.970469792,5.556034483,5.564942529,11.24555449,14.59929273
7.45813793,4.360000134,5.828695652,5.884293194,17.86570786,19.98288533
8.451971862,4.340000153,6.148689139,7.292857143,19.64385425,12.81665491
5.079999924,4,6.853982301,9.8,19.7158567,21.12253634
37.91470524,3.730000019,7.6,7.712285714,11.23408292,15.19963571
5.110000134,3.806000018,7.92234957,8.561864407,10.60170096,14.37277733
4.769999981,3.613333305,8.645170455,9.645786517,20.85623773,16.12125942
4.489999991,3.595000029,8.780701754,7.180857143,19.6917,20.71853799
4.311159397,3.470983587,8.445821326,6.839710145,17.76733349,19.75280776
4.120666691,3.432799997,8.199104478,4.080147059,20.51168318,14.90907708
4.053871043,6.045801534,5.483977901,3.863736264,12.1984959,14.36071358
4.034295356,6.50520601,5.374452555,4.235135135,20.61989941,14.49283559
4.072021893,5.966130268,5.921052632,4.039917695,19.70725778,12.74617267
35.81333272,9.607022056,5.656028369,7.593333333,11.35263877,20.10477764
4.365178583,10.37432726,8.376530612,5.758510638,10.99198013,12.99277135
4.856306267,10.20901754,7.170068027,5.752688172,10.90744049,14.61779942
5.104780462,11.57852947,7.13190184,5.535616438,19.06024039,21.00188731
6.514205594,12.3181053,6.971942446,5.395945946,19.3611253,21.14844787
6.744841244,7.408320627,6.733913043,5.172131148,17.02969684,21.60231346
6.04501995,4.436857151,6.853539823,5.1,10.2192261,16.90161794
5.340501918,6.113392075,6.862111801,4.945320197,18.21831672,16.73664957
6.464699646,5.541279601,6.66,10.57790368,10.05177584,17.75419394
4.029512221,4.558499982,6.354385965,4.842279412,9.533920772,22.20311593
4.999523753,4.587830175,6.52890625,3.861046512,8.988487433,19.00495833
8.986495668,5.096854449,2.369961977,12.81352113,8.99690256,21.43698838
8.425380975,5.363438908,6.530835735,4.56036036,8.925060088,21.14429435
7.894644595,6.461509441,6.206329114,7.542268041,8.723995758,20.56278657
18.61930427,6.37161292,8.08370607,6.678205128,4.230393692,20.28419705
6.49247617,7.096270254,7.158675079,6.028977273,6.482231148,20.28791491
6.196111128,7.562516132,7.316081871,6.536290323,4.461680603,20.29983473
8.57352681,7.62266668,6.34962963,5.777218935,4.490666326,10.99884531
4.978956051,7.904916231,6.025862069,5.705829596,9.509848588,18.1637652
4.105838966,7.974871809,5.865587045,6.924783862,6.980713082,11.51122212
4.275320538,8.57922152,5.985337243,5.47032967,6.637916006,11.69622787
4.606725124,8.562384106,5.868871595,9.603947368,7.59453071,16.94915225
7.633145543,8.852704384,6.40152439,5.626666667,7.182362776,13.78346766
5.188384581,9.564936234,6.296350365,5.870711297,7.043025449,18.10140979
5.072986981,9.805986573,6.445228216,8.900891286,7.969496401,18.50225891
5.648455893,10.24779528,1.7,8.464705882,7.309308388,18.71680952
7.626327192,10.306,7.705662393,7.639,9.74312289,19.21594509
7.653498452,10.31133333,7.549561404,7.443778802,8.625124369,19.50920203
7.179849624,10.67284768,7.352534562,8.371232877,8.711090355,19.00085402
6.611505792,2.542,7.243283582,4.612827988,8.842437868,20.75840282
7.811354839,4.31,8.252654867,4.367455621,8.957482367,20.91815291
8.226943522,4.38,7.227325581,4.241498559,9.007476152,14.96883247
2.764,6.946058091,6.752325581,4.470893372,11.39783895,20.80158441
4.675,4.41,6.267261905,6.560458453,11.40973519,18.85548794
4.555,5.973214286,6.140762463,4.998230088,11.69023064,22.00117988
8.791592593,6.226628788,6.905232558,5.266172107,12.5096887,16.25706122
4.46,6.2,6.15952381,5.589017341,17.40283166,15.62026866
7.604432432,6.2,6.195575221,5.705750799,11.89226353,15.99782428
7.895505226,6.75,6.217241379,5.934110787,16.59278875,16.86475043
5.9,6.85,6.116774194,6.354441261,15.93706115,18.06807069
5.8,9.77625,6.250149254,5.499253731,15.95357752,21.74208975
6.1,9.71954023,6.180994152,6.474561404,17.36255714,18.93177138
6.166666667,9.451219512,6.276888889,7.106340058,18.86445769,18.1745747
12.03636364,9.825373134,6.802881844,7.785428571,17.45056796,17.85286855
12.34159292,9.82972973,6.992151163,8.408238636,18.99079937,17.45610778
11.88839286,10.1825,7.089117647,8.3,19.61535048,15.83844843
12.24509804,9.534065934,7.911337209,8.271714286,14.28434186,16.94312174
12.05,9.11627907,8.1,5.362790698,14.70582933,17.45404551
12.79210526,8.990526316,8.76300578,8.932676056,15.19477716,16.88977238
12.7122449,9.323853211,6.991119691,8.528774929,14.45639856,14.69919129
12.29831933,9.449411765,9.317291066,11.77388724,14.91987746,13.43739281
11.89459459,9.563218391,9.703438395,5.16509434,13.10612886,14.72511238
12.575,9.056818182,11.20938416,5.64589372,13.31769103,16.90748604
12.11949153,9.380612245,6.965267176,6.844569288,13.5387435,15.52572914
12.28059701,9.024390244,6.73254717,6.895468278,12.1068502,16.68988084
11.92542373,8.469603524,7.247122302,4.864102564,11.57491245,17.17838315
12.26831683,6.345454545,8.546706587,5.009952607,12.27695385,17.13934078
11.91527778,3.125,7.348897059,12.20644258,10.56352339,15.66168676
11.30786517,7.152941176,6.894888179,12.97768362,9.73554038,16.03884947
6.140740741,6.066666667,12.73076923,14.12619718,6.97078661,17.79804258
6.151428571,5.966666667,13.19476744,6.835416667,6.510402467,11.62317908
6.205633803,6.4,14.0867052,7.237681159,7.089946182,10.38760965
5.543137255,5.9,7.769942197,6.459887006,10.21682841,12.07291362
5.590825688,6.033333333,7.340057637,11.13863636,9.9497706,10.06880242
5.383076923,6.05,7.689090909,6.570984456,6.007686837,12.61634655
6.05,6.15,10.65114504,6.431325301,9.548817056,10.89366566
4.593939394,6.2,7.894485294,6.944554455,6.625328432,11.11990717
4.660416667,6.2,7.650592885,6.931937173,9.8217933,11.08314983
4.537735849,6.3,9.416901408,6.107048458,6.904907053,10.29762662
4.423529412,6.1,8.851492537,6.239884393,9.657311888,12.87520321
4.48,6.1,7.941342756,6.062181818,9.59699755,10.61185652
4.2,6.4504,7.798461538,12.18753709,7.631553648,14.05330791
4.54,6.1,7.625806452,12.13446328,9.848375032,9.67106515
4.266666667,7.4,10.38036254,12.95690141,9.959223345,9.861964433
4.15,6,11.10523256,12.68262108,7.048498639,16.76252348
6.40078125,6.1,11.66851312,5.803492063,10.43714175,10.6663078
4.34,6.6375,12.53872832,9.73836858,7.946415279,10.88869694
7.960869565,5.9,7.338855422,8.932080925,7.652271736,14.64061389
3.95,6.705802048,10.19525223,7.831020408,10.88104694,10.71460166
4.258333333,6,8.92244898,8.119596542,10.52798283,17.89323153
7.210526316,6.586891386,8.213333333,7.652753623,8.319439021,13.99248442
3.963636364,5.85,8.595689655,7.429957806,10.8283929,10.99160997
7.116438356,6.25,8.490598291,6.008,11.53691935,10.48738671
4.4,6.133333333,8.176666667,6.812285714,9.799280988,16.04727067
6.54006734,6.146511628,7.407207207,5.570676692,11.13664434,10.31134595
4.162135922,6.090425532,7.630057803,5.637368421,10.90972977,11.35415615
4.428888889,5.993548387,6.841630901,11.3566092,,14.33871805
4.219117647,5.782926829,6.901298701,8.380294118,,11.43564221
4.242682927,5.855932203,11.92819767,6.037283237,,11.63545188
4.125892857,8.529304029,7.734011628,6.934929577,,
3.986619718,6.024199288,5.959587021,6.880747126,,
3.618954248,5.479710145,8.691740413,7.691860465,,
3.931288344,5.56130137,7.783577713,7.653735632,,
9.559437751,5.319926199,9.486337209,8.000859599,,
8.682926829,5.416901408,7.077941176,15.56638177,,
9.334693878,5.465714286,5.172672673,5.434431138,,
8.946391753,4.807432432,18.45378151,10.09859551,,
9.791034483,4.173571429,6.226011561,10.39398281,,
8.434680135,4.412,20.75141243,10.80225352,,
8.898965517,4.41010453,14.00816901,11.53079096,,
8.620819113,4.645644599,14.92253521,12.12922636,,
9.084768212,5.429045643,16.22072829,12.68410405,,
8.957432432,5.227838828,17.39861111,12.10509915,,
8.891694352,5.24047619,17.76078431,12.8480226,,
8.839240506,5.126258993,14.57960894,13.3456338,,
3.858364312,5.271747212,16.34915254,13.10228571,,
8.659666667,5.3,15.49693593,13.00205882,,
8.528476821,6.736428571,14.49888579,10.27659574,,
9.032673267,6.61483871,13.6442577,13.19741379,,
8.679069767,6.549285714,9.524767802,5.772697368,,
8.9,6.802439024,13.23841808,15.1058309,,
9.853658537,7.027333333,7.360429448,8.08902439,,
9.788275862,7.31,16.71293103,15.59598854,,
9.850295858,7.476,10.05736677,16.31540698,,
9.798684211,5.293430657,16.34366197,8.2515625,,
9.4625,5.759507042,16.86412429,8.041741742,,
8.21,5.695979899,10.57591463,4.735643564,,
7.922222222,5.537106918,10.16566265,5.662430939,,
5.613157895,6.179636364,4.029927007,3.842718447,,
4.823310811,6.369927536,5.783660131,4.202197802,,
5.696954315,6.796928328,3.606060606,4.854952077,,
5.070588235,7.048854962,3.860750853,5.6275,,
4.932075472,7.197426471,3.990957447,11.68292683,,
5.253311258,7.523550725,4.64380531,7.063087248,,
4.841584158,7.680357143,11.96492754,6.251263538,,
5.357594937,7.675261324,5.71563786,7.349844237,,
5.758125,7.315789474,5.776126126,7.183012821,,
5.743573668,8.133210332,6.500326797,7.619939577,,
5.726898734,7.748275862,6.317350158,3.522641509,,
5.685530547,8.295709571,6.469526627,8.490060241,,
6.645977011,10.00603448,6.954480287,7.8,,
6.947122302,8.15,7.403525641,11.20761905,,
6.756521739,9.539041096,6.3,6.303934426,,
7.067896679,11.66842105,8.941237113,6.515488215,,
11.19555556,10.85384615,5.381469649,6.538047138,,
8.551612903,12.75238095,6.27388535,8.93592233,,
10.1253886,10.03939394,6.126100629,6.274598071,,
9.944964029,9.957575758,7.811783439,8.343809524,,
10.26060606,9.972592593,6.072903226,9.214589666,,
9.930081301,10.15511811,7.369400631,7.329655172,,
8.708024691,10.15357143,8.078616352,4.830677291,,
8.489880952,9.969444444,6.893729373,4.416915423,,
8.154014599,10.17831325,3.987946429,5.65070922,,
8.41091954,10.36436782,4.366122449,5.257460317,,
8.402427184,10.36886228,5.477307692,4.88537415,,
8.296756757,10.37191011,5.109765625,4.457243816,,
8.386320755,10.460181,5.757564576,4.36244898,,
8.526495726,8.323529412,5.287666667,13.46380368,,
8.425974026,8.175362319,5.387878788,6.081993569,,
8.5,8.956626506,14.91847507,7.705769231,,
8.81618705,8.640996169,6.720774648,6.758227848,,
8.926415094,8.756981132,7.187118644,6.963467492,,
8.691428571,9.662068966,7.250830565,6.554037267,,
8.398653199,8.780769231,7.349358974,6.750159744,,
8.811619718,1.025096525,7.18,8.571786834,,
9.44047619,12.75046612,7.509602649,12.65331325,,
11.25192308,8.245324055,8.579478827,19.78092486,,
9.703448276,13.22188628,11.50529595,20.8235119,,
13.59834988,20.4362846,18.94940476,9.313291139,,
7.72449534,25.3409801,20.10321637,9.388023952,,
12.82038022,16.5799206,10.38566879,21.70647059,,
21.71840275,21.30800708,10.04548105,9.582370821,,
28.64020884,20.64798912,20.56127168,21.78702065,,
18.73557134,21.94680173,9.707017544,24.12743363,,
24.52406475,24.97503368,20.91190476,13.57921687,,
20.83652097,26.48738937,22.87343284,11.66437126,,
21.30044968,28.67579998,13.61927711,25.68088235,,
24.92889525,25.45171177,11.74837758,19.87794562,,
26.2174978,28.69565516,23.51152738,26.94391691,,
28.47202254,29.34668724,17.38653846,27.37953216,,
23.91031076,32.81974726,25.62470238,27.84985591,,
27.50284516,20.91316872,26.23964497,29.63139535,,
29.14663208,25.2446295,26.47172012,30.11271676,,
34.46505483,26.47995161,27.3899705,7.904923077,,
21.12092459,28.10832545,27.49112426,30.60718391,,
26.32951032,16.76113678,9.645341615,8.337869822,,
28.46307493,18.19229264,28.22251462,14.32826087,,
29.34167297,23.26663124,9.687797619,7.945065789,,
18.98984716,26.96344201,15.46538462,12.35987654,,
20.67139272,26.53646647,9.19335443,6.57585034,,
25.06067415,18.10682678,13.89487179,8.033956386,,
28.79223709,19.79247217,5.085957447,7.549840256,,
27.73085,21.27089013,6.207284768,7.936705202,,
19.55506796,21.7200977,6.423381295,19.14615385,,
20.9385814,22.64257659,6.707333333,14.55415385,,
22.06783787,24.14100683,15.80497076,22.13848485,,
22.66333167,25.27742921,9.555592105,12.825,,
23.37405821,25.55453196,17.95512048,12.24523077,,
25.17880861,27.15971979,9.974153846,9.318902439,,
26.97576355,13.98441888,9.890825688,12.9,,
26.96802446,17.9612579,7.950316456,7.950151976,,
29.22236838,19.97341992,14.7462908,8.369827586,,
18.04072635,21.13384372,8.066071429,23.08853868,,
22.59364861,12.93373478,8.468949772,8.802654867,,
24.3271808,7.36692931,20.74149254,8.161746988,,
26.27622728,11.272827,9.543939394,22.45873926,,
15.19665556,14.31980392,9.495795796,23.33457143,,
8.763724255,15.26084465,21.9122093,7.540869565,,
10.43985713,14.04330707,22.47764706,7.385093168,,
8.652843124,17.12246466,8.433333333,25.74867257,,
10.43150751,17.81778632,8.356441718,27.02522255,,
16.80551895,18.37326556,22.84868035,27.54349112,,
20.41239533,21.09904476,23.04867257,27.44895522,,
21.5583215,21.01006108,23.52059701,27.79882353,,
21.22453145,15.10738284,23.92199413,28.34752187,,
24.32329261,13.7725136,24.67426901,29.09008746,,
23.55040912,17.10690353,24.78558559,28.34780059,,
16.88548762,19.71383798,25.69002933,8.229253731,,
18.24036827,18.97168091,25.62521994,9.178980892,,
20.33704759,17.21560072,10.53,29.76206897,,
23.59922925,17.56494862,11.61536145,30.09649123,,
21.35713323,17.85463268,26.56371681,30,,
20.10043158,21.7115812,26.90935673,10.20404984,,
20.78327196,19.27279286,26.2,9.188271605,,
21.02096966,21.7448314,12.21196319,14.43197674,,
24.40173148,21.01793992,11.75119048,11.86543624,,
22.35737941,19.66703607,19.2058651,6.481227437,,
23.38838697,20.55336115,11.91651376,18.40089021,,
24.05175226,23.99068194,8.095846645,7.035616438,,
22.22156867,23.08230773,22.36735905,13.40967742,,
23.25424427,21.23215801,7.728037383,17.51939394,,
25.65324565,21.52321818,11.91083591,22.06996997,,
25.94880952,24.18112063,19.14791667,23.43519062,,
24.07827391,21.60181596,26.0922619,15.76626506,,
24.11657015,25.41634829,26.68746356,21.25174419,,
25.64073969,22.31955484,13.52073171,10.3440625,,
24.10528478,22.13789391,21.82349398,9.254045307,,
26.48060989,23.47125839,8.132515337,9.876923077,,
24.58217951,25.8905717,7.485119048,6.383333333,,
23.89787037,26.85202263,8.312349398,7.738629283,,
25.57876355,23.7775424,8.589212828,14.47674419,,
26.95556478,23.97657778,9.159692308,9.053869969,,
27.39448326,26.95050623,12.77876106,20.34682779,,
25.80904579,24.47113012,7.9179941,27.30376812,,
26.19526614,25.29762428,19.48292683,4.466108787,,
28.86690664,29.34101354,27.93848485,4.805882353,,
26.294535,12.34097027,4.193536122,16.5011976,,
27.03545899,14.26171788,4.8204,4.864779874,,
32.43442962,15.54362751,19.65217391,6.385365854,,
15.58582917,17.23865484,4.957589286,20.63558824,,
16.2497512,15.14350923,6.462790698,21.64380403,,
17.18524505,16.81219379,23.27212644,1.064516129,,
17.81519018,17.03685118,24.60847953,23.96339286,,
17.84155935,18.28570123,24.94971264,24.96086957,,
19.65719737,17.64537953,26.85580737,25.27643678,,
19.06478507,16.40860345,27.1058309,21.81520468,,
18.86321028,17.20312783,23.38537313,26.83768116,,
20.30362776,17.56259611,28.07204611,27.95028902,,
18.31081258,17.87498996,29.28290598,25.5700565,,
19.29591527,17.71929741,28.28269795,20.03494318,,
19.31910845,17.68473413,26.20201149,26.40233236,,
19.73180036,18.29091519,29.20439883,26.28863636,,
19.60165945,17.99147446,29.65657143,17.91094675,,
19.78993973,19.0230529,10.75731343,12.83628602,,
19.98299148,18.47695868,9.635863989,11.67630825,,
19.57793042,18.14962679,8.928319745,10.51633049,,
19.25898754,19.43660078,8.220775502,9.356352728,,
20.54982756,19.96314964,7.513231259,8.196374965,,
20.71618947,17.0036777,6.805687015,7.036397202,,
22.17205601,17.58579362,6.098142772,5.876419438,,
22.17161376,18.07496203,5.390598529,22.18047337,,
20.49871842,18.92392664,17.91202346,21.43702624,,
21.12652008,21.0921535,17.39678363,22.3130814,,
21.61855577,18.10223824,18.23782235,9.8,,
20.8043039,22.01230474,7.2,5.456043956,,
23.40762852,18.13108824,7.26344086,23.87365439,,
19.26716929,17.9620545,21.19176136,26.75043732,,
23.02276238,6.768341357,23.3945245,22.42307692,,
18.82670519,18.19893915,21.39217391,5.473076923,,
18.65810216,18.13324028,5.607335907,5.643617021,,
5.59802589,23.57420581,5.924427481,5.779120879,,
