0,1,2,3,4
212.0,632.0,1053.0,1474.0,1895.0
238.0,639.0,1065.0,1490.0,1916.0
241.0,643.0,1072.0,1500.0,1928.0
220.0,643.0,1072.0,1500.0,1928.0
178.0,517.0,862.0,1206.0,1550.0
118.0,273.0,454.0,635.0,817.0
91.0,225.0,374.0,523.0,673.0
233.0,647.0,1078.0,1508.0,1939.0
